"(Intercept)","Group_Pred_Len","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-0.00318991326391513,0.00662588555556553,"+","+","+","+",43,-1724.4255798039,3535.8206202642,0,0.780017539601001
0.334213504326353,NA,"+","+","+","+",42,-1726.93251680604,3538.59335635875,2.77273609454687,0.194990016306592
0.00725776482973173,0.00702414535029368,"+",NA,"+","+",42,-1728.61977845372,3543.03171820622,7.21109794201766,0.0211950451514458
0.365348326145587,NA,"+",NA,"+","+",41,-1731.46922183982,3546.47070066632,10.650080402113,0.00379724652364312
0.359505178671261,NA,NA,"+","+","+",40,-1743.22470434395,3567.96806888846,32.1474486242619,8.15407301565421e-08
0.160105560038137,0.00389939017785232,NA,"+","+","+",41,-1742.38808136221,3568.33062260468,32.5100023404757,6.80216334686359e-08
0.12164802787081,0.00435904421615112,NA,NA,"+","+",39,-1748.20426036295,3575.98932097647,40.1687007122628,1.47768490242245e-09
0.351319585131008,NA,NA,NA,"+","+",38,-1749.32780046723,3576.13006983343,40.3094495692276,1.37726848568176e-09
-0.224397962079123,0.00736868577933444,"+","+",NA,"+",22,-1781.9997645041,3609.20426072029,73.3836404560884,9.05835449029156e-17
0.155111425809113,NA,"+","+",NA,"+",21,-1785.15257428378,3613.44116528236,77.6205450181624,1.08897316190763e-17
-0.269626722939755,0.00917005936807481,"+",NA,NA,"+",21,-1812.59790505114,3668.36166320076,132.541042936554,1.29176222967762e-29
0.204441520248865,NA,"+",NA,NA,"+",20,-1817.67084792035,3676.37843615147,140.55781588727,2.34618608287045e-31
0.10154714493033,NA,NA,"+",NA,"+",17,-1835.84848471169,3706.94394323369,171.123322969484,5.40937292694242e-38
-0.000566177216335189,0.00194199933501806,NA,"+",NA,"+",18,-1835.57403461568,3708.44332451916,172.622704254962,2.55599743606233e-38
-1.17954246529068,0.00574408451785224,"+","+","+",NA,30,-1831.910138813,3725.04080258284,189.220182318636,6.36009855657481e-42
-1.18272584909314,0.00581188392558696,"+",NA,"+",NA,29,-1833.34637224919,3725.96314686645,190.142526602246,4.01032277959539e-42
-0.888164283592694,NA,"+","+","+",NA,29,-1833.81451684691,3726.90907179478,191.088451530581,2.49904652112582e-42
-0.887849555531387,NA,"+",NA,"+",NA,28,-1835.45446582719,3728.00822669818,192.187606433978,1.44243378568838e-42
-0.874064229481693,NA,NA,"+","+",NA,26,-1851.35337909406,3755.78175854061,219.961138276404,1.3432290481528e-48
-1.03314179917784,0.0031365572794635,NA,"+","+",NA,27,-1850.73857910437,3756.59642991845,220.775809654245,8.93812518821387e-49
-0.872716042630275,NA,NA,NA,"+",NA,25,-1853.34828204324,3757.64429556993,221.823675305729,5.29304148714271e-49
-1.06123386189708,0.00371693886615324,NA,NA,"+",NA,26,-1852.45922271713,3757.9478359289,222.1272156647,4.54770564289474e-49
-0.0815479108977642,0.00435087891082393,NA,NA,NA,"+",16,-1867.17533529112,3766.35067058225,230.530050318046,6.80988825309702e-51
0.154150679827222,NA,NA,NA,NA,"+",14,-1868.35762295296,3766.71524590592,230.894625641714,5.67509923158254e-51
-1.22524272343268,0.00774938045075127,"+","+",NA,NA,8,-1896.17457105461,3808.69229510653,272.871674842327,4.35284339504871e-60
-0.831076115568227,NA,"+","+",NA,NA,7,-1900.05718034644,3814.29792022322,278.477299959019,2.63953250554384e-61
-1.27629530684477,0.0090111840124444,"+",NA,NA,NA,7,-1921.17100680285,3857.1129170072,321.292296743002,1.33158407213551e-70
-0.817652898567563,NA,"+",NA,NA,NA,6,-1926.53868660802,3865.67551388435,329.854893620147,1.84087501942178e-72
-0.797154169638913,NA,NA,"+",NA,NA,2,-1949.82700787252,3903.67315930718,367.852539042976,1.03261977622337e-80
-0.904781720283292,0.00212415326875598,NA,"+",NA,NA,3,-1949.4697870788,3905.08710134308,369.266481078873,5.0922161065325e-81
-1.01253959841527,0.00459505092303097,NA,NA,NA,NA,1,-1978.49609337458,3960.99218674915,425.171566484948,3.692085716122e-93
-0.779324876801003,NA,NA,NA,NA,NA,1,-1979.95397437261,3961.90794874523,426.087328481027,2.33569743771036e-93
